Year,Service,Category,Count,Percentage
2020,Adobe,Legal Threat,2,0.32%
2020,Adobe,Account Action,0,0.00%
2020,Adobe,Privacy/Security,0,0.00%
2020,Adobe,Security Risk,0,0.00%
2020,Adobe,Legitimate Portability,0,0.00%
2020,Adobe,User Workaround,0,0.00%
2020,Adobe,General Terms,618,97.48%
2020,Netflix,Technical Blocking,0,0.00%
2020,Netflix,Price Discrimination,4,1.02%
2020,Netflix,Content Licensing,19,4.83%
2020,Netflix,Regulatory Compliance,7,1.78%
2020,Netflix,Legal Threat,1,0.25%
2020,Netflix,Account Action,0,0.00%
2020,Netflix,Privacy/Security,0,0.00%
2020,Netflix,Security Risk,0,0.00%
2020,Netflix,Legitimate Portability,0,0.00%
2020,Netflix,User Workaround,0,0.00%
2020,Netflix,General Terms,362,92.11%
2020,Disney+,Technical Blocking,0,0.00%
2020,Disney+,Price Discrimination,5,2.07%
2020,Disney+,Content Licensing,9,3.73%
2020,Disney+,Regulatory Compliance,4,1.66%
2020,Disney+,Legal Threat,0,0.00%
2020,Disney+,Account Action,0,0.00%
2020,Disney+,Privacy/Security,0,0.00%
2020,Disney+,Security Risk,0,0.00%
2020,Disney+,Legitimate Portability,0,0.00%
2020,Disney+,User Workaround,0,0.00%
2020,Disney+,General Terms,223,92.53%
2020,Amazon Prime,Technical Blocking,0,0.00%
2020,Amazon Prime,Price Discrimination,0,0.00%
2020,Amazon Prime,Content Licensing,3,3.49%
2020,Amazon Prime,Regulatory Compliance,2,2.33%
2020,Amazon Prime,Legal Threat,1,1.16%
2020,Amazon Prime,Account Action,0,0.00%
2020,Amazon Prime,Privacy/Security,0,0.00%
2020,Amazon Prime,Security Risk,0,0.00%
2020,Amazon Prime,Legitimate Portability,0,0.00%
2020,Amazon Prime,User Workaround,0,0.00%
2020,Amazon Prime,General Terms,80,93.02%
2020,Apple Music,Technical Blocking,0,0.00%
2020,Apple Music,Price Discrimination,0,0.00%
2020,Apple Music,Content Licensing,3,1.51%
2020,Apple Music,Regulatory Compliance,2,1.01%
2020,Apple Music,Legal Threat,0,0.00%
2020,Apple Music,Account Action,0,0.00%
2020,Apple Music,Privacy/Security,0,0.00%
2020,Apple Music,Security Risk,0,0.00%
2020,Apple Music,Legitimate Portability,0,0.00%
2020,Apple Music,User Workaround,0,0.00%
2020,Apple Music,General Terms,194,97.49%
2020,ExpressVPN,Technical Blocking,0,0.00%
2020,ExpressVPN,Price Discrimination,0,0.00%
2020,ExpressVPN,Content Licensing,0,0.00%
2020,ExpressVPN,Regulatory Compliance,0,0.00%
2020,ExpressVPN,Legal Threat,0,0.00%
2020,ExpressVPN,Account Action,0,0.00%
2020,ExpressVPN,Privacy/Security,0,0.00%
2020,ExpressVPN,Security Risk,0,0.00%
2020,ExpressVPN,Legitimate Portability,0,0.00%
2020,ExpressVPN,User Workaround,0,0.00%
2020,ExpressVPN,General Terms,0,0.00%
2020,NordVPN,Technical Blocking,0,0.00%
2020,NordVPN,Price Discrimination,0,0.00%
2020,NordVPN,Content Licensing,0,0.00%
